Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/Afsara/fb_bart_large_cnn/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/ahotrod/albert_xxlargev1_squad2_512/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/ahotrod/electra_large_discriminator_squad2_512/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/0x70DA/t5-v1_1-base-abs_qa/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/ai-forever/sbert_large_mt_nlu_ru/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/Abirate/bert_fine_tuned_cola/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/aiautomationlab/german-news-title-gen-mt5/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/abhirajeshbhai/symptom-2-disease-net/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/alaggung/bart-r3f/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/alaggung/bart-rl/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/aakorolyova/primary_and_secondary_outcome_extraction/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/aakorolyova/primary_outcome_extraction/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/af-ai-center/bert-base-swedish-uncased/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-gpt2/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-bert/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-t5/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-xlnet/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-mbart/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
Model: /scratch/gilbreth/jiang784/peatmoss_fortress/huggingface_data/akreal/tiny-random-mpnet/tf_model.h5, Lambda Layers: 0, Custom Layers: 0
